bowler,match,wickets,bowler's_runs,valid_ball,overs_bowled,economy,best,4W Hall,5W Hall
Kane Williamson,2,0,31,18,3.0,10.33,0/ 7,0,0
Padmanabhan Prasanth,1,0,18,6,1.0,18.0,0/ 18,0,0
Sudhesan Midhun,1,0,27,12,2.0,13.5,0/ 27,0,0
Colin Munro,2,0,15,12,2.0,7.5,0/ 7,0,0
Ranadeb Bose,1,0,24,12,2.0,12.0,0/ 24,0,0
Karan Goel,6,0,93,66,11.0,8.45,0/ 7,0,0
Sunny Gupta,1,0,47,18,3.0,15.67,0/ 47,0,0
Daniel Harris,2,0,26,18,3.0,8.67,0/ 11,0,0
Suryakumar Yadav,1,0,8,6,1.0,8.0,0/ 8,0,0
Daniel Sams,3,0,114,72,12.0,9.5,0/ 30,0,0
Asad Pathan,3,0,63,39,6.3,10.0,0/ 14,0,0
Rasikh Salam,1,0,42,24,4.0,10.5,0/ 42,0,0
David Warner,1,0,2,1,0.1,20.0,0/ 2,0,0
Kemar Roach,2,0,80,48,8.0,10.0,0/ 32,0,0
Tejas Baroka,1,0,33,21,3.3,10.0,0/ 33,0,0
Sridharan Sriram,2,0,49,18,3.0,16.33,0/ 24,0,0
