bowler,batting_team,season,Innings,bowler's_wicket,bowler's_runs,valid_ball,overs,economy
Andrew Symonds,Mumbai Indians,2010,2,0,72,48,8.0,9.0
Andrew Symonds,Pune Warriors India,2011,1,0,7,6,1.0,7.0
Andrew Symonds,Punjab Kings,2009,2,1,30,18,3.0,10.0
Andrew Symonds,Punjab Kings,2010,2,1,38,36,6.0,6.33
Andrew Symonds,Punjab Kings,2011,1,1,11,6,1.0,11.0
Andrew Symonds,Rajasthan Royals,2008,1,0,46,17,2.5,18.4
Andrew Symonds,Rajasthan Royals,2009,1,0,30,24,4.0,7.5
Andrew Symonds,Rajasthan Royals,2010,2,0,27,24,4.0,6.75
Andrew Symonds,Royal Challengers Bangalore,2009,2,3,33,42,7.0,4.71
Andrew Symonds,Royal Challengers Bangalore,2010,3,2,84,60,10.0,8.4
Andrew Tye,Chennai Super Kings,2018,2,2,94,48,8.0,11.75
Andrew Tye,Chennai Super Kings,2019,2,0,75,42,7.0,10.71
Andrew Tye,Delhi Capitals,2018,2,2,63,48,8.0,7.88
Andrew Tye,Delhi Capitals,2020,1,1,49,25,4.1,11.95
Andrew Tye,Kolkata Knight Riders,2018,2,6,71,48,8.0,8.88
Andrew Tye,Kolkata Knight Riders,2019,2,2,78,42,7.0,11.14
Andrew Tye,Mumbai Indians,2017,2,2,43,30,5.0,8.6
Andrew Tye,Mumbai Indians,2018,2,5,51,48,8.0,6.38
Andrew Tye,Mumbai Indians,2019,1,1,40,24,4.0,10.0
Andrew Tye,Punjab Kings,2017,1,2,35,24,4.0,8.75
Andrew Tye,Rajasthan Royals,2018,2,6,58,48,8.0,7.25
Andrew Tye,Rising Pune Supergiant,2017,1,5,17,24,4.0,4.25
Andrew Tye,Royal Challengers Bangalore,2017,2,3,46,48,8.0,5.75
Andrew Tye,Royal Challengers Bangalore,2018,2,1,60,48,8.0,7.5
Andrew Tye,Royal Challengers Bangalore,2019,1,0,40,24,4.0,10.0
Andrew Tye,Sunrisers Hyderabad,2018,2,2,51,48,8.0,6.38
André Nel,Delhi Capitals,2008,1,1,31,18,3.0,10.33
Angelo Mathews,Chennai Super Kings,2010,2,0,44,24,4.0,11.0
Angelo Mathews,Chennai Super Kings,2012,2,1,30,18,3.0,10.0
Angelo Mathews,Deccan Chargers,2010,2,2,52,48,8.0,6.5
Angelo Mathews,Delhi Capitals,2010,2,0,54,30,5.0,10.8
