batsman,Bowling Team,Innings,batsman_runs,valid_ball,Strike Rate,not outs,Average
Siddhesh Lad,Punjab Kings,1,15,13,115.38,0,15.0
Simon Katich,Chennai Super Kings,3,79,55,143.64,1,39.5
Simon Katich,Deccan Chargers,2,20,21,95.24,0,10.0
Simon Katich,Delhi Capitals,2,95,61,155.74,0,47.5
Simon Katich,Kolkata Knight Riders,1,34,28,121.43,0,34.0
Simon Katich,Mumbai Indians,1,0,2,0.0,0,0.0
Simon Katich,Rajasthan Royals,1,10,13,76.92,0,10.0
Simon Katich,Royal Challengers Bangalore,1,3,5,60.0,0,3.0
Sohail Tanvir,Chennai Super Kings,1,9,7,128.57,1,9.0
Sohail Tanvir,Delhi Capitals,1,5,5,100.0,0,5.0
Sohail Tanvir,Kolkata Knight Riders,2,16,10,160.0,1,16.0
Sohail Tanvir,Mumbai Indians,1,6,6,100.0,0,6.0
Sourav Ganguly,Chennai Super Kings,7,79,115,68.7,0,11.29
Sourav Ganguly,Deccan Chargers,10,327,292,111.99,1,36.33
Sourav Ganguly,Delhi Capitals,6,154,142,108.45,0,25.67
Sourav Ganguly,Kolkata Knight Riders,3,59,65,90.77,0,19.67
Sourav Ganguly,Mumbai Indians,8,145,153,94.77,0,18.12
Sourav Ganguly,Punjab Kings,7,235,174,135.06,1,39.17
Sourav Ganguly,Rajasthan Royals,8,253,206,122.82,1,36.14
Sourav Ganguly,Royal Challengers Bangalore,7,97,110,88.18,0,13.86
Sreenath Aravind,Chennai Super Kings,1,0,1,0.0,1,0.0
Sreenath Aravind,Deccan Chargers,1,2,3,66.67,1,2.0
Sreenath Aravind,Gujarat Lions,1,9,16,56.25,0,9.0
Sreenath Aravind,Kolkata Knight Riders,1,5,4,125.0,1,5.0
Sreenath Aravind,Punjab Kings,2,15,11,136.36,1,15.0
Sreenath Aravind,Rajasthan Royals,1,14,8,175.0,1,14.0
Sreenath Aravind,Rising Pune Supergiant,2,14,12,116.67,2,14.0
Sreenath Aravind,Sunrisers Hyderabad,1,0,2,0.0,0,0.0
Sridharan Sriram,Kolkata Knight Riders,1,27,29,93.1,0,27.0
Sridharan Sriram,Punjab Kings,1,4,7,57.14,0,4.0
Stephen Fleming,Deccan Chargers,2,28,25,112.0,0,14.0
Stephen Fleming,Delhi Capitals,2,57,39,146.15,0,28.5
Stephen Fleming,Kolkata Knight Riders,1,32,20,160.0,1,32.0
Stephen Fleming,Mumbai Indians,1,26,29,89.66,0,26.0
Stephen Fleming,Punjab Kings,1,1,4,25.0,0,1.0
Stephen Fleming,Rajasthan Royals,2,7,6,116.67,0,3.5
