batsman,batsman_runs,Innings,balls_faced,total_fours,total_sixes,Total Boundaries,High_score,strike_rate,Centuries,Half_Centuries,not outs,Average
Lakshmipathy Balaji,36,13,49,2,1,3,15,73.47,0,0,6,5.14
Kane Richardson,36,4,39,2,1,3,26,92.31,0,0,1,12.0
Abu Nechim,36,6,26,4,1,5,18,138.46,0,0,5,36.0
Bodapati Sumanth,35,4,37,3,0,3,16,94.59,0,0,3,35.0
Anil Kumble,35,15,47,3,0,3,8,74.47,0,0,12,11.67
Luke Ronchi,34,5,34,6,1,7,13,100.0,0,0,0,6.8
Aditya Dole,34,2,22,3,1,4,30,154.55,0,0,0,17.0
Abhimanyu Mithun,34,6,26,4,1,5,11,130.77,0,0,1,6.8
S Sreesanth,34,12,55,6,0,6,15,61.82,0,0,8,8.5
Imran Tahir,33,8,37,5,0,5,13,89.19,0,0,4,8.25
Narayan Jagadeesan,33,2,29,4,0,4,33,113.79,0,0,0,16.5
Dinesh Salunkhe,33,3,24,5,0,5,26,137.5,0,0,1,16.5
Basil Thampi,32,7,35,1,1,2,13,91.43,0,0,6,32.0
Chris Jordan,32,6,36,2,0,2,13,88.89,0,0,1,6.4
Robin Peterson,32,5,30,3,1,4,16,106.67,0,0,2,10.67
Mitchell Santner,32,2,22,0,3,3,22,145.45,0,0,1,32.0
Alex Carey,32,3,29,0,1,1,14,110.34,0,0,1,16.0
Prabhsimran Singh,31,3,32,3,1,4,16,96.88,0,0,0,10.33
Tatenda Taibu,31,3,26,3,0,3,15,119.23,0,0,0,10.33
Sridharan Sriram,31,2,36,3,0,3,27,86.11,0,0,0,15.5
Nikhil Naik,31,4,50,2,0,2,22,62.0,0,0,0,7.75
Syed Mohammad,29,5,26,4,0,4,13,111.54,0,0,3,14.5
Vijay Zol,29,2,26,3,1,4,16,111.54,0,0,0,14.5
Shadab Jakati,28,5,29,3,0,3,13,96.55,0,0,4,28.0
Mayank Markande,27,7,29,3,0,3,7,93.1,0,0,4,9.0
Justin Kemp,26,2,24,1,1,2,22,108.33,0,0,0,13.0
Ankit Rajpoot,26,7,41,2,1,3,8,63.41,0,0,2,5.2
Ashoke Dinda,26,16,48,2,0,2,7,54.17,0,0,6,2.6
Nathan McCullum,26,2,22,0,1,1,15,118.18,0,0,1,26.0
Aniket Choudhary,25,3,20,1,1,2,15,125.0,0,0,2,25.0
Shivnarine Chanderpaul,25,3,31,4,0,4,16,80.65,0,0,0,8.33
KC Cariappa,24,5,21,0,2,2,12,114.29,0,0,2,8.0
Pradeep Sangwan,24,13,39,1,0,1,6,61.54,0,0,6,3.43
Eklavya Dwivedi,24,2,14,2,2,4,19,171.43,0,0,0,12.0
Musavir Khote,24,3,22,2,1,3,9,109.09,0,0,1,12.0
Jagadeesh Arunkumar,23,3,23,5,0,5,22,100.0,0,0,0,7.67
Jeevan Mendis,23,3,27,0,0,0,12,85.19,0,0,0,7.67
Shaun Tait,23,5,26,1,1,2,11,88.46,0,0,2,7.67
Shivam Mavi,23,6,29,2,0,2,9,79.31,0,0,1,4.6
Kamlesh Nagarkoti,22,6,31,1,0,1,8,70.97,0,0,3,7.33
Yuzvendra Chahal,22,14,51,0,0,0,4,43.14,0,0,8,3.67
Brad Hogg,22,4,22,1,0,1,13,100.0,0,0,1,7.33
Matthew Wade,22,3,33,0,0,0,11,66.67,0,0,0,7.33
Doug Bollinger,21,4,22,1,1,2,16,95.45,0,0,3,21.0
Tushar Deshpande,21,2,12,2,1,3,20,175.0,0,0,1,21.0
Nic Maddinson,20,3,21,4,0,4,12,95.24,0,0,0,6.67
Muttiah Muralitharan,20,9,29,1,0,1,6,68.97,0,0,3,3.33
Rohan Raje,20,5,18,1,1,2,11,111.11,0,0,4,20.0
Harpreet Singh Bhatia,20,3,26,0,0,0,13,76.92,0,0,1,10.0
Harpreet Brar,20,1,12,2,1,3,20,166.67,0,0,1,20.0
Alfonso Thomas,20,4,19,1,1,2,12,105.26,0,0,2,10.0
Abhinav Mukund,19,2,22,1,0,1,19,86.36,0,0,0,9.5
Rajesh Bishnoi,19,3,17,1,2,3,18,111.76,0,0,0,6.33
Pardeep Sahu,19,2,13,1,1,2,18,146.15,0,0,1,19.0
Gnaneshwara Rao,19,1,17,3,0,3,19,111.76,0,0,0,19.0
Rahul Shukla,19,4,23,2,0,2,14,82.61,0,0,3,19.0
Damien Martyn,19,1,24,1,0,1,19,79.17,0,0,0,19.0
Vishnu Vinod,19,3,26,1,1,2,9,73.08,0,0,0,6.33
Prayas Barman,19,1,24,2,0,2,19,79.17,0,0,0,19.0
Johan van der Wath,18,3,16,1,1,2,14,112.5,0,0,1,9.0
Harmeet Singh,18,4,12,3,0,3,14,150.0,0,0,1,6.0
Brad Haddin,18,1,11,2,1,3,18,163.64,0,0,0,18.0
Darren Lehmann,18,2,18,3,0,3,17,100.0,0,0,0,9.0
Pravin Tambe,18,6,38,1,0,1,7,47.37,0,0,4,9.0
Tom Banton,18,2,20,1,1,2,10,90.0,0,0,0,9.0
Keemo Paul,18,5,24,1,1,2,7,75.0,0,0,1,4.5
Parvez Rasool,17,4,20,1,0,1,10,85.0,0,0,2,8.5
Rahul Chahar,17,6,17,2,0,2,10,100.0,0,0,4,8.5
Pragyan Ojha,16,19,44,0,0,0,3,36.36,0,0,8,1.45
Chamara Kapugedera,16,3,22,0,0,0,8,72.73,0,0,0,5.33
Siddhesh Lad,15,1,13,1,1,2,15,115.38,0,0,0,15.0
Isuru Udana,15,4,11,1,1,2,10,136.36,0,0,1,5.0
James Pattinson,15,2,13,2,0,2,11,115.38,0,0,1,15.0
Graham Napier,15,1,16,1,0,1,15,93.75,0,0,0,15.0
Chandan Madan,15,1,18,3,0,3,15,83.33,0,0,0,15.0
Sean Abbott,15,2,13,1,1,2,14,115.38,0,0,0,7.5
Yo Mahesh,15,5,27,0,0,0,6,55.56,0,0,3,7.5
Alzarri Joseph,15,1,13,2,0,2,15,115.38,0,0,1,15.0
Kusal Perera,14,2,13,3,0,3,14,107.69,0,0,0,7.0
Farhaan Behardien,14,3,13,2,0,2,9,107.69,0,0,1,7.0
Devraj Patil ,13,2,13,1,0,1,9,100.0,0,0,0,6.5
Kyle Abbott,13,3,8,0,1,1,12,162.5,0,0,2,13.0
Samuel Badree,13,5,23,0,0,0,8,56.52,0,0,0,2.6
Dhruv Shorey,13,2,17,0,1,1,8,76.47,0,0,0,6.5
Siddarth Kaul,12,7,28,0,0,0,7,42.86,0,0,3,3.0
Doug Bracewell,12,1,9,1,0,1,12,133.33,0,0,1,12.0
Ankit Bawne,12,1,12,1,0,1,12,100.0,0,0,1,12.0
Krishnakant Upadhyay,12,2,9,0,1,1,11,133.33,0,0,2,12.0
Ankeet Chavan,12,3,11,2,0,2,7,109.09,0,0,1,6.0
Swapnil Singh,12,3,20,0,0,0,10,60.0,0,0,0,4.0
Thilan Thushara,12,4,18,0,0,0,8,66.67,0,0,2,6.0
Karanveer Singh,12,4,17,1,0,1,5,70.59,0,0,3,12.0
Trent Boult,12,5,15,0,1,1,6,80.0,0,0,2,4.0
Makhaya Ntini,11,2,18,2,0,2,11,61.11,0,0,1,11.0
Nuwan Zoysa,11,2,9,1,0,1,10,122.22,0,0,1,11.0
Taruwar Kohli,11,3,19,0,1,1,7,57.89,0,0,0,3.67
Mujeeb Ur Rahman,11,5,14,2,0,2,10,78.57,0,0,2,3.67
Tyron Henderson,11,2,15,0,1,1,11,73.33,0,0,0,5.5
Kemar Roach,10,1,9,1,0,1,10,111.11,0,0,0,10.0
Tim Paine,10,2,26,0,0,0,8,38.46,0,0,0,5.0
Thalaivan Sargunam,10,1,17,0,0,0,10,58.82,0,0,0,10.0
Ali Murtuza,10,3,14,1,0,1,5,71.43,0,0,2,10.0
Juan Theron,10,4,12,1,0,1,7,83.33,0,0,2,5.0
Dillon du Preez,10,1,13,0,0,0,10,76.92,0,0,0,10.0
Sachithra Senanayake,10,4,16,0,0,0,7,62.5,0,0,3,10.0
Varun Chakravarthy,10,3,15,0,0,0,7,66.67,0,0,1,5.0
Barinder Sran,10,7,13,0,0,0,3,76.92,0,0,6,10.0
Shane Harwood,9,2,13,0,0,0,6,69.23,0,0,2,9.0
Ashley Noffke,9,1,10,1,0,1,9,90.0,0,0,0,9.0
Tymal Mills,8,3,11,0,1,1,6,72.73,0,0,0,2.67
