id,inning,batting_team,batsman,batsman_runs,valid_ball,strike_rate,bowler,dismissal_kind,fielder,info,season,is_four,is_six,bowling_team
501267,1,Kolkata Knight Riders,Jacques Kallis,59,42,140.5,James Franklin,caught,Tirumalasetti Suman,c Tirumalasetti Suman b James Franklin,2011,4,3,Mumbai Indians
501267,1,Kolkata Knight Riders,Yusuf Pathan,36,27,133.3,James Franklin,caught,Abu Nechim,c Abu Nechim b James Franklin,2011,4,1,Mumbai Indians
501267,1,Kolkata Knight Riders,Manoj Tiwary,35,22,159.1,Kieron Pollard,run out,Harbhajan Singh,run out Harbhajan Singh,2011,5,1,Mumbai Indians
501267,1,Kolkata Knight Riders,Ryan ten Doeschate,18,12,150.0,Abu Nechim,lbw,,lbw b Abu Nechim,2011,1,1,Mumbai Indians
501267,1,Kolkata Knight Riders,Rajat Bhatia,11,6,183.3,Abu Nechim,run out,Ambati Rayudu,run out Ambati Rayudu,2011,2,0,Mumbai Indians
501267,1,Kolkata Knight Riders,Gautam Gambhir,8,7,114.3,Abu Nechim,bowled,,b Abu Nechim,2011,0,1,Mumbai Indians
501267,1,Kolkata Knight Riders,Shakib Al Hasan,1,1,100.0,,,,not out,2011,0,0,Mumbai Indians
501267,1,Kolkata Knight Riders,Shreevats Goswami,1,3,33.3,Lasith Malinga,run out,"TL Suman,AT Rayudu","run out TL Suman,AT Rayudu",2011,0,0,Mumbai Indians
501267,2,Mumbai Indians,James Franklin,45,23,195.7,,,,not out,2011,5,1,Kolkata Knight Riders
501267,2,Mumbai Indians,Sachin Tendulkar,38,27,140.7,Rajat Bhatia,caught,Gautam Gambhir,c Gautam Gambhir b Rajat Bhatia,2011,6,0,Kolkata Knight Riders
501267,2,Mumbai Indians,Harbhajan Singh,30,29,103.4,Rajat Bhatia,caught,Manoj Tiwary,c Manoj Tiwary b Rajat Bhatia,2011,5,0,Kolkata Knight Riders
501267,2,Mumbai Indians,Kieron Pollard,18,22,81.8,Lakshmipathy Balaji,bowled,,b Lakshmipathy Balaji,2011,2,0,Kolkata Knight Riders
501267,2,Mumbai Indians,Ambati Rayudu,17,6,283.3,,,,not out,2011,0,2,Kolkata Knight Riders
501267,2,Mumbai Indians,Rohit Sharma,10,9,111.1,Rajat Bhatia,caught,Shreevats Goswami,c Shreevats Goswami b Rajat Bhatia,2011,1,0,Kolkata Knight Riders
501267,2,Mumbai Indians,Tirumalasetti Suman,4,4,100.0,Iqbal Abdulla,caught,Yusuf Pathan,c Yusuf Pathan b Iqbal Abdulla,2011,1,0,Kolkata Knight Riders
501268,2,Chennai Super Kings,Suresh Raina,73,48,152.1,,,,not out,2011,4,6,Royal Challengers Bangalore
501268,2,Chennai Super Kings,Subramaniam Badrinath,34,32,106.2,Abhimanyu Mithun,caught,Sreenath Aravind,c Sreenath Aravind b Abhimanyu Mithun,2011,5,0,Royal Challengers Bangalore
501268,2,Chennai Super Kings,Mahendra Singh Dhoni,29,19,152.6,Zaheer Khan,caught,Abhimanyu Mithun,c Abhimanyu Mithun b Zaheer Khan,2011,3,1,Royal Challengers Bangalore
501268,2,Chennai Super Kings,Albie Morkel,28,10,280.0,,,,not out,2011,1,3,Royal Challengers Bangalore
501268,2,Chennai Super Kings,Murali Vijay,5,5,100.0,Sreenath Aravind,lbw,,lbw b Sreenath Aravind,2011,1,0,Royal Challengers Bangalore
501268,2,Chennai Super Kings,Michael Hussey,0,4,0.0,Zaheer Khan,lbw,,lbw b Zaheer Khan,2011,0,0,Royal Challengers Bangalore
501268,1,Royal Challengers Bangalore,Virat Kohli,70,44,159.1,,,,not out,2011,5,3,Chennai Super Kings
501268,1,Royal Challengers Bangalore,Mayank Agarwal,34,33,103.0,Dwayne Bravo,caught,Doug Bollinger,c Doug Bollinger b Dwayne Bravo,2011,5,0,Chennai Super Kings
501268,1,Royal Challengers Bangalore,Luke Pomersbach,29,18,161.1,Doug Bollinger,bowled,,b Doug Bollinger,2011,2,2,Chennai Super Kings
501268,1,Royal Challengers Bangalore,AB de Villiers,11,10,110.0,Shadab Jakati,caught,Murali Vijay,c Murali Vijay b Shadab Jakati,2011,0,1,Chennai Super Kings
501268,1,Royal Challengers Bangalore,Saurabh Tiwary,9,6,150.0,,,,not out,2011,1,0,Chennai Super Kings
501268,1,Royal Challengers Bangalore,Chris Gayle,8,9,88.9,Ravichandran Ashwin,lbw,,lbw b Ravichandran Ashwin,2011,0,1,Chennai Super Kings
501269,1,Kolkata Knight Riders,Ryan ten Doeschate,70,49,142.9,,,,not out,2011,6,3,Mumbai Indians
501269,1,Kolkata Knight Riders,Shakib Al Hasan,26,16,162.5,Lasith Malinga,bowled,,b Lasith Malinga,2011,4,0,Mumbai Indians
501269,1,Kolkata Knight Riders,Yusuf Pathan,26,24,108.3,Munaf Patel,caught,Kieron Pollard,c Kieron Pollard b Munaf Patel,2011,3,0,Mumbai Indians
501269,1,Kolkata Knight Riders,Jacques Kallis,7,7,100.0,Munaf Patel,caught,Sachin Tendulkar,c Sachin Tendulkar b Munaf Patel,2011,1,0,Mumbai Indians
501269,1,Kolkata Knight Riders,Manoj Tiwary,4,7,57.1,Dhawal Kulkarni,lbw,,lbw b Dhawal Kulkarni,2011,0,0,Mumbai Indians
501269,1,Kolkata Knight Riders,Gautam Gambhir,4,8,50.0,Harbhajan Singh,bowled,,b Harbhajan Singh,2011,1,0,Mumbai Indians
501269,1,Kolkata Knight Riders,Brett Lee,2,3,66.7,,,,not out,2011,0,0,Mumbai Indians
501269,1,Kolkata Knight Riders,Rajat Bhatia,2,3,66.7,Dhawal Kulkarni,run out,"RG Sharma,DS Kulkarni","run out RG Sharma,DS Kulkarni",2011,0,0,Mumbai Indians
501269,1,Kolkata Knight Riders,Shreevats Goswami,0,3,0.0,Munaf Patel,caught,Ambati Rayudu,c Ambati Rayudu b Munaf Patel,2011,0,0,Mumbai Indians
501269,2,Mumbai Indians,Aiden Blizzard,51,30,170.0,Brett Lee,caught,Iqbal Abdulla,c Iqbal Abdulla b Brett Lee,2011,7,2,Kolkata Knight Riders
501269,2,Mumbai Indians,Sachin Tendulkar,36,28,128.6,Jacques Kallis,caught,Manoj Tiwary,c Manoj Tiwary b Jacques Kallis,2011,6,0,Kolkata Knight Riders
501269,2,Mumbai Indians,James Franklin,29,25,116.0,,,,not out,2011,2,0,Kolkata Knight Riders
501269,2,Mumbai Indians,Ambati Rayudu,12,16,75.0,Jacques Kallis,caught,Shreevats Goswami,c Shreevats Goswami b Jacques Kallis,2011,2,0,Kolkata Knight Riders
501269,2,Mumbai Indians,Harbhajan Singh,11,5,220.0,,,,not out,2011,1,1,Kolkata Knight Riders
501269,2,Mumbai Indians,Kieron Pollard,3,5,60.0,Shakib Al Hasan,lbw,,lbw b Shakib Al Hasan,2011,0,0,Kolkata Knight Riders
501269,2,Mumbai Indians,Tirumalasetti Suman,2,7,28.6,Shakib Al Hasan,caught,Manoj Tiwary,c Manoj Tiwary b Shakib Al Hasan,2011,0,0,Kolkata Knight Riders
501270,2,Mumbai Indians,Sachin Tendulkar,40,24,166.7,Syed Mohammad,stumped,AB de Villiers,stumped AB de Villiers b Syed Mohammad,2011,7,0,Royal Challengers Bangalore
501270,2,Mumbai Indians,Abu Nechim,18,13,138.5,,,,not out,2011,1,1,Royal Challengers Bangalore
501270,2,Mumbai Indians,Rajagopal Sathish,18,21,85.7,,,,not out,2011,1,0,Royal Challengers Bangalore
501270,2,Mumbai Indians,James Franklin,16,17,94.1,Zaheer Khan,bowled,,b Zaheer Khan,2011,0,1,Royal Challengers Bangalore
501270,2,Mumbai Indians,Harbhajan Singh,13,7,185.7,Sreenath Aravind,caught,Luke Pomersbach,c Luke Pomersbach b Sreenath Aravind,2011,1,1,Royal Challengers Bangalore
